iter	RMSE
0	14.09927881
1	13.18848582
2	12.32884726
3	11.68861828
4	11.0231937
5	10.44102574
6	9.971427906
7	9.514700222
8	9.090903164
9	8.732122814
10	8.382803982
11	8.040587271
12	7.744321232
13	7.464540227
14	7.230870841
15	7.052895595
16	6.871484161
17	6.712592183
18	6.567607784
19	6.448754335
20	6.318657885
21	6.206923544
22	6.111691432
23	6.040175076
24	5.956001749
25	5.878203742
26	5.798656129
27	5.73578887
28	5.682441613
29	5.634191924
30	5.596467856
31	5.559023687
32	5.523104561
33	5.49180603
34	5.46645296
35	5.427983739
36	5.402256125
37	5.369287668
38	5.349266
39	5.327973694
40	5.302189772
41	5.28448607
42	5.269428227
43	5.255741452
44	5.24001582
45	5.217642653
46	5.197306903
47	5.168571444
48	5.158305442
49	5.148406031
50	5.135780803
51	5.125493998
52	5.11577341
53	5.107215744
54	5.092900989
55	5.080941589
56	5.063093363
57	5.050714155
58	5.04281556
59	5.028430081
60	5.008686448
61	5.001546542
62	4.99360427
63	4.98696392
64	4.977211829
65	4.968917137
66	4.957786345
67	4.941338113
68	4.93054606
69	4.918518792
70	4.909050255
71	4.905295981
72	4.898038105
73	4.888245591
74	4.880359551
75	4.872103319
76	4.863828291
77	4.849994891
78	4.839813609
79	4.834516981
80	4.824967695
81	4.818472884
82	4.802544516
83	4.796966976
84	4.789226154
85	4.777794546
86	4.774834484
87	4.766168473
88	4.757778759
89	4.752960851
90	4.745781047
91	4.740344805
92	4.730547022
93	4.726618587
94	4.720822605
95	4.714219315
96	4.711394035
97	4.701390815
98	4.696236918
99	4.684926888
