iter	Passed	Remaining
0	2	226
1	4	202
2	6	207
3	7	188
4	10	197
5	12	201
6	14	192
7	16	191
8	18	190
9	20	188
10	23	191
11	25	189
12	27	186
13	29	183
14	31	179
15	33	176
16	35	174
17	37	171
18	40	170
19	42	169
20	44	166
21	46	163
22	47	160
23	49	156
24	51	153
25	53	153
26	55	151
27	57	148
28	60	147
29	61	144
30	63	142
31	65	139
32	67	137
33	69	135
34	71	133
35	73	130
36	74	126
37	75	123
38	77	120
39	78	117
40	79	114
41	80	111
42	82	108
43	83	106
44	84	103
45	85	100
46	87	98
47	88	95
48	89	93
49	90	90
50	91	87
51	92	85
52	93	82
53	94	80
54	95	78
55	96	75
56	97	73
57	98	71
58	99	69
59	100	66
60	101	65
61	102	62
62	103	60
63	104	58
64	105	56
65	106	54
66	106	52
67	107	50
68	108	48
69	109	46
70	110	45
71	111	43
72	112	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	120	31
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	127	20
86	129	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
