iter	Passed	Remaining
0	146	146796
1	149	74549
2	151	50469
3	153	38326
4	155	31001
5	157	26093
6	159	22657
7	161	20060
8	163	18025
9	165	16431
10	167	15079
11	169	13962
12	171	13011
13	174	12265
14	176	11567
15	177	10940
16	179	10376
17	180	9873
18	182	9423
19	184	9023
20	185	8663
21	187	8348
22	189	8070
23	192	7808
24	193	7560
25	195	7323
26	197	7104
27	198	6902
28	200	6717
29	204	6618
30	207	6473
31	209	6329
32	211	6187
33	213	6057
34	216	5960
35	218	5852
36	220	5744
37	222	5636
38	224	5531
39	226	5426
40	227	5331
41	230	5268
42	233	5198
43	236	5130
44	238	5058
45	240	4980
46	242	4909
47	244	4858
48	247	4797
49	249	4741
50	251	4683
51	253	4627
52	255	4572
53	258	4520
54	260	4474
55	262	4428
56	264	4382
57	266	4331
58	268	4284
59	270	4239
60	273	4213
61	275	4173
62	277	4133
63	279	4093
64	281	4052
65	283	4015
66	285	3977
67	288	3954
68	290	3924
69	293	3892
70	295	3862
71	297	3829
72	298	3796
73	301	3769
74	304	3756
75	306	3729
76	308	3703
77	311	3686
78	313	3658
79	315	3628
80	317	3602
81	319	3579
82	320	3545
83	323	3524
84	325	3499
85	326	3471
86	328	3446
87	330	3422
88	333	3408
89	334	3387
90	337	3367
91	339	3353
92	341	3331
93	343	3311
94	345	3289
95	348	3280
96	350	3260
97	352	3240
98	353	3220
99	355	3200
100	357	3179
101	358	3158
102	361	3144
103	363	3131
104	365	3116
105	367	3100
106	369	3081
107	370	3063
108	372	3045
109	374	3028
110	376	3017
111	378	3002
112	380	2988
113	383	2984
114	385	2969
115	387	2953
116	389	2936
117	391	2929
118	394	2920
119	396	2906
120	398	2892
121	399	2875
122	401	2862
123	402	2846
124	405	2837
125	407	2829
126	409	2815
127	411	2803
128	413	2791
129	415	2778
130	416	2764
131	418	2751
132	420	2744
133	423	2734
134	425	2723
135	427	2713
136	428	2700
137	430	2689
138	432	2677
139	433	2664
140	438	2668
141	439	2655
142	441	2644
143	442	2632
144	445	2624
145	446	2614
146	449	2608
147	454	2614
148	456	2604
149	458	2595
150	460	2587
151	462	2578
152	464	2574
153	466	2564
154	468	2554
155	471	2548
156	472	2539
157	474	2530
158	477	2524
159	479	2519
160	481	2508
161	483	2499
162	484	2490
163	486	2480
164	488	2471
165	490	2464
166	492	2458
167	494	2451
168	496	2443
169	498	2434
170	500	2425
171	502	2417
172	504	2410
173	506	2403
174	509	2399
175	511	2392
176	513	2388
177	515	2382
178	517	2375
179	520	2370
180	522	2366
